"Gebieden in Nederland 2021"
""
"","Subject"
"","Codes en namen van gemeenten|Code","Codes en namen van gemeenten|Naam","Codes en namen van gemeenten|Sortering naam","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|COROP-gebieden|Code","Lokaliseringen van gemeenten|COROP-gebieden|Naam","Lokaliseringen van gemeenten|COROP-subgebieden|Code","Lokaliseringen van gemeenten|COROP-subgebieden|Naam","Lokaliseringen van gemeenten|COROP-plusgebieden|Code","Lokaliseringen van gemeenten|COROP-plusgebieden|Naam","Lokaliseringen van gemeenten|GGD-regio's|Code","Lokaliseringen van gemeenten|GGD-regio's|Naam","Lokaliseringen van gemeenten|Jeugdregio's|Code","Lokaliseringen van gemeenten|Jeugdregio's|Naam","Lokaliseringen van gemeenten|Kamer van Koophandel|Code","Lokaliseringen van gemeenten|Kamer van Koophandel|Naam","Lokaliseringen van gemeenten|Landbouwgebieden|Code","Lokaliseringen van gemeenten|Landbouwgebieden|Naam","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Code","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Naam","Lokaliseringen van gemeenten|Landsdelen|Code","Lokaliseringen van gemeenten|Landsdelen|Naam","Lokaliseringen van gemeenten|Provincies|Code","Lokaliseringen van gemeenten|Provincies|Naam","Lokaliseringen van gemeenten|Regionale eenheden|Code","Lokaliseringen van gemeenten|Regionale eenheden|Naam","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|SubRES-regio’s|Code","Lokaliseringen van gemeenten|SubRES-regio’s|Naam","Lokaliseringen van gemeenten|Toeristengebieden|Code","Lokaliseringen van gemeenten|Toeristengebieden|Naam","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Code","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Naam","Lokaliseringen van gemeenten|Veiligheidsregio's|Code","Lokaliseringen van gemeenten|Veiligheidsregio's|Naam","Lokaliseringen van gemeenten|Zorgkantoorregio's|Code","Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Code","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Omschrijving","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving","Statistische gegevens|Inwonertal","Statistische gegevens|Omgevingsadressendichtheid"
"Alphen aan den Rijn","GM0484","AlphenaandenRijn","AlphenaandenRijn","AM19","HollandRhineland","AR07","TheHague","CR28","EastSouthHolland","CS280","EastSouthHolland","CP2800","EastSouthHolland","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2805","BoskoopandRijneveld","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC27","SouthHollandEast","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","6","100,000to150,000inhabitants","2","Stronglyurban","112587","1873"
"Alphen-Chaam","GM1723","Alphen-Chaam","Alphen+Chaam","AM26","CentralBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5206","GGDWest-Brabant","JZ35","CentralBrabant","KK44","South","LB3007","TheKempen","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR13","WestandCentralBrabant","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","3","10,000to20,000inhabitants","5","Non-urban","10373","317"
"Altena","GM1959","Altena","Altena","AM25","WestBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5206","GGDWest-Brabant","JZ34","WestBrabantEast","KK44","South","LB3003","Biesbosch","LG11","SouthwesternArableFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR04","Deltaarea","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","5","50,000to100,000inhabitants","4","Notveryurban","56352","506"
"Ameland","GM0060","Ameland","Ameland","AM02","Friesland","AR05","NorthernNetherlands","CR04","NorthFriesland","CS040","NorthFriesland","CP0400","NorthFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2104","Islands","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC04","FrieslandNorth","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR01","WaddenIslands","VT04","Friesland","VR02","Friesland","ZK08","Friesland","1","lessthan5,000inhabitants","5","Non-urban","3746","255"
"Amersfoort","GM0307","Amersfoort","Amersfoort","AM14","Amersfoort","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1702","AmersfoortMetropolitanRegion","GG2514","GGDRegionUtrecht","JZ20","Eemland","KK41","Northwest","LB2604","Eemland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES13","Amersfoort","MC16","EemandValley","RA0513","Amersfoortandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1301","Amersfoort","TR07","UtrechtHillRidgeand'tGooi","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","7","150,000to250,000inhabitants","2","Stronglyurban","157462","2341"
"Amstelveen","GM0362","Amstelveen","Amstelveen","AM18","GreaterAmsterdam","AR01","Amsterdam","CR23","GreaterAmsterdam","CS232","OtherGreaterAmsterdam","CP2321","OtherAmsterdamAgglomeration","GG3406","GGDAmsterdam","JZ13","Amsterdam-Amstelland","KK41","Northwest","LB2703","AmstellandandAalsmeer","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE05","Amsterdam","ES16","NorthHollandSouth","MC21","AmsterdamAgglomeration","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1606","Amstelland","TR17","OtherNetherlands","VT01","Amsterdam-Amstelland","VR13","Amsterdam-Amstelland","ZK01","AmstellandandDeMeerlanden","5","50,000to100,000inhabitants","1","Verystrongurban","90829","2507"
"Amsterdam","GM0363","Amsterdam","Amsterdam","AM18","GreaterAmsterdam","AR01","Amsterdam","CR23","GreaterAmsterdam","CS231","Amsterdam","CP2311","Amsterdam","GG3406","GGDAmsterdam","JZ13","Amsterdam-Amstelland","KK41","Northwest","LB2706","WaterlandandNorthHollandPolders","LG08","WaterlandandPolders","LD03","WestNetherlands","PV27","NorthHolland","RE05","Amsterdam","ES16","NorthHollandSouth","MC21","AmsterdamAgglomeration","RA0616","Amsterdam","RT11","AmsterdamCourtofAppeal","ET1601","Amsterdam","TR16","4majorcitiesexcludingNorthSearesorts","VT01","Amsterdam-Amstelland","VR13","Amsterdam-Amstelland","ZK02","Amsterdam","8","250,000inhabitantsormore","1","Verystrongurban","873338","6096"
"Apeldoorn","GM0200","Apeldoorn","Apeldoorn","AM06","TriangleofCitiesandNorthwestVeluwe","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1413","GGDNorthandEastGelderland","JZ17","MiddleIJssel/EastVeluwe","KK43","East","LB2501","EasternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES12","Cleantech","MC11","TriangleofCities","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1201","Cleantech","TR08","VeluweandVeluweedge","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK03","Apeldoorn/Zutphen","7","150,000to250,000inhabitants","2","Stronglyurban","164781","1770"
"Arnhem","GM0202","Arnhem","Arnhem","AM07","CentralGelderland","AR03","Gelderland","CR15","Arnhem/Nijmegen","CS150","Arnhem/Nijmegen","CP1500","Arnhem/Nijmegen","GG1911","SafetyandHealthRegionGelderland-Midden","JZ28","CentralGelderland","KK43","East","LB2505","VeluwezoomandBetuwe","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES08","Arnhem/Nijmegen","MC41","Arnhem","RA0309","CentralGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0801","Arnhem/Nijmegen","TR08","VeluweandVeluweedge","VT05","Gelderland-Middle","VR07","Gelderland-Middle","ZK04","Arnhem","7","150,000to250,000inhabitants","2","Stronglyurban","162424","2239"
"Assen","GM0106","Assen","Assen","AM01","Groningen","AR05","NorthernNetherlands","CR07","NorthDrenthe","CS070","NorthDrenthe","CP0700","NorthDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2202","SmildeandCentralSandyAreainDrenthe","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC07","NorthandCentralDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","5","50,000to100,000inhabitants","2","Stronglyurban","68836","1582"
"Asten","GM0743","Asten","Asten","AM32","Helmond-DePeel","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","3","10,000to20,000inhabitants","4","Notveryurban","16817","975"
"Baarle-Nassau","GM0744","Baarle-Nassau","Baarle+Nassau","AM26","CentralBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5206","GGDWest-Brabant","JZ35","CentralBrabant","KK44","South","LB3007","TheKempen","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR13","WestandCentralBrabant","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","2","5,000to10,000inhabitants","5","Non-urban","6899","348"
"Baarn","GM0308","Baarn","Baarn","AM14","Amersfoort","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1702","AmersfoortMetropolitanRegion","GG2514","GGDRegionUtrecht","JZ20","Eemland","KK41","Northwest","LB2604","Eemland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES13","Amersfoort","MC16","EemandValley","RA0513","Amersfoortandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1301","Amersfoort","TR07","UtrechtHillRidgeand'tGooi","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","4","20,000to50,000inhabitants","2","Stronglyurban","24792","1618"
"Barendrecht","GM0489","Barendrecht","Barendrecht","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS291","Rhineestuary","CP2910","Rhineestuary","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2802","Rotterdamandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES23","Rotterdam/TheHague","MC29","Rhineestuary","RA0919","Rhineestuary","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR04","Deltaarea","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK29","SouthHollandIslands","4","20,000to50,000inhabitants","2","Stronglyurban","48643","1670"
"Barneveld","GM0203","Barneveld","Barneveld","AM38","FoodValley","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1911","SafetyandHealthRegionGelderland-Midden","JZ21","FoodValley","KK43","East","LB2507","WesternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES09","FoodValley","MC16","EemandValley","RA0309","CentralGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0901","FoodValleyGelderland","TR08","VeluweandVeluweedge","VT05","Gelderland-Middle","VR07","Gelderland-Middle","ZK04","Arnhem","5","50,000to100,000inhabitants","4","Notveryurban","59992","885"
"Brook (L.)","GM0888","Brook","Brook","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3003","WesternMiningRegion","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","3","10,000to20,000inhabitants","4","Notveryurban","15875","891"
"Brookdales","GM1954","Brookdales","Brookdales","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3001","ParkCity","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","4","20,000to50,000inhabitants","4","Notveryurban","36065","501"
"Beemster","GM0370","Beemster","Beemster","AM17","Zaanregion/Waterland","AR02","NorthHolland","CR23","GreaterAmsterdam","CS232","OtherGreaterAmsterdam","CP2322","Edam-Volendamandsurroundings","GG7306","MunicipalHealthServiceZaanstreek/Waterland","JZ09","Zaanregion-Waterland","KK41","Northwest","LB2706","WaterlandandNorthHollandPolders","LG08","WaterlandandPolders","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC21","AmsterdamAgglomeration","RA0615","ZaanregionandWaterland","RT11","AmsterdamCourtofAppeal","ET1603","Zaanregion-Waterland","TR17","OtherNetherlands","VT22","Zaanregion-Waterland","VR11","Zaanregion-Waterland","ZK26","Zaanregion/Waterland","3","10,000to20,000inhabitants","4","Notveryurban","10110","666"
"Beesel","GM0889","Beesel","Beesel","AM29","NorthLimburg","AR09","Limburg","CR37","NorthLimburg","CS370","NorthLimburg","CP3700","NorthLimburg","GG6011","GGDLimburg-Noord","JZ37","NorthLimburg","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","3","10,000to20,000inhabitants","4","Notveryurban","13450","756"
"Mountain and Valley","GM1945","MountainandValley","MountainandValley","AM08","KingdomofNijmegen","AR03","Gelderland","CR15","Arnhem/Nijmegen","CS150","Arnhem/Nijmegen","CP1500","Arnhem/Nijmegen","GG2014","MunicipalHealthServiceGelderland-South","JZ32","KingdomofNijmegen","KK43","East","LB2503","SouthernGelderland","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES08","Arnhem/Nijmegen","MC40","KingdomofNijmegen","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0801","Arnhem/Nijmegen","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT06","Gelderland-South","VR08","Gelderland-South","ZK16","Nijmegen","4","20,000to50,000inhabitants","4","Notveryurban","35010","653"
